01030010,Ladeira Constituição,Centro,"São Paulo", "SP"
01030020,Beco da Fábrica,Centro,"São Paulo", "SP"
01030900,"Edifício Salim Farah Maluf, Rua Florêncio de Abreu, 36",Centro,"São Paulo", "SP"
01030901,"Edifício Tietê, Rua Florêncio de Abreu, 48",Centro,"São Paulo", "SP"
01030902,"Edifício Salim Faruad, Rua Florêncio de Abreu, 352",Centro,"São Paulo", "SP"
01031000,"Avenida Prestes Maia, lado par",Centro,"São Paulo", "SP"
01031001,"Avenida Prestes Maia, lado ímpar",Centro,"São Paulo", "SP"
01031005,Passagem Subterrânea Tom Jobim,Centro,"São Paulo", "SP"
01031010,Rua Dom Francisco de Sousa,Centro,"São Paulo", "SP"
01031020,Rua Doutor Luiz Silveira,Centro,"São Paulo", "SP"
01031030,Praça do Correio,Centro,"São Paulo", "SP"
01031900,"Bankboston Banco Múltiplo S.A., Parque Anhangabaú, 98 1º Subsolo",Centro,"São Paulo", "SP"
01031901,"Edifício Fernão Dias, Avenida Prestes Maia, 220",Centro,"São Paulo", "SP"
01031902,"Edifício Mirante do Vale, Avenida Prestes Maia, 241",Centro,"São Paulo", "SP"
01031903,"Edifício Victória, Avenida Prestes Maia, 321",Centro,"São Paulo", "SP"
01031904,"Edifício Ernesto, Avenida Prestes Maia, 676",Centro,"São Paulo", "SP"
01031905,"Secretaria da Receita Federal, Avenida Prestes Maia, 733",Centro,"São Paulo", "SP"
01031906,"Delegacia de Administração Ministério da Fazenda, Avenida Prestes Maia, 733 1º Andar",Centro,"São Paulo", "SP"
01031970,"AC Central de São Paulo, Praça do Correio, s/n",Centro,"São Paulo", "SP"
01032001,"Rua Brigadeiro Tobias, de 451/452 ao fim",Centro,"São Paulo", "SP"
01032010,Rua Riskallah Jorge,Centro,"São Paulo", "SP"
01032020,Rua Capitão-mor Jerônimo Leitão,Centro,"São Paulo", "SP"
01032030,Praça Pedro Lessa,Centro,"São Paulo", "SP"
01032901,"Edifício Eduardo Prates, Rua Brigadeiro Tobias, 356",Centro,"São Paulo", "SP"
01032902,"Palácio da Polícia Civil, Rua Brigadeiro Tobias, 527",Centro,"São Paulo", "SP"
01032903,"Edifício Barão do Rio Branco, Rua Brigadeiro Tobias, 577",Centro,"São Paulo", "SP"
01032905,"Edifício Zarzur e Kogan, Rua Brigadeiro Tobias, 110/118",Centro,"São Paulo", "SP"
01032970,"CDD Sé, Praça Pedro Lessa, s/n",Centro,"São Paulo", "SP"
01033000,"Avenida Cásper Líbero, lado par",Centro,"São Paulo", "SP"
01033001,"Avenida Cásper Líbero, lado ímpar",Centro,"São Paulo", "SP"
01033010,Rua Washington Luís,Centro,"São Paulo", "SP"
01033020,Rua Beneficência Portuguesa,Centro,"São Paulo", "SP"
01033030,Rua Coronel Batista da Luz,Centro,"São Paulo", "SP"
01033040,Praça Alfredo Issa,Centro,"São Paulo", "SP"
01033050,Viaduto Santa Ifigênia,Centro,"São Paulo", "SP"
01033900,"Edifício Santa Júlia, Avenida Cásper Líbero, 58",Centro,"São Paulo", "SP"
01033901,"Condomínio Edifício Júlio Moreira, Avenida Cásper Líbero, 134",Centro,"São Paulo", "SP"
01033902,"Banco Panamericano S/A, Praça Alfredo Issa, 48 9º Andar",Centro,"São Paulo", "SP"
01033903,"Edifício Conceição, Avenida Cásper Líbero, 383",Centro,"São Paulo", "SP"
01033904,"Edifício Beneficência, Rua Beneficência Portuguesa, 24",Centro,"São Paulo", "SP"
01033905,"Edifício Obelisco, Rua Beneficência Portuguesa, 44",Centro,"São Paulo", "SP"
01033906,"Edifício Cidade Luz, Rua Doutor Alfredo Issa, 48",Centro,"São Paulo", "SP"
01033907,"Inst Nac do Seg Social Reg São Paulo, Viaduto Santa Ifigênia, 266",Centro,"São Paulo", "SP"
01034000,"Rua Antônio de Godói, lado par",Centro,"São Paulo", "SP"
01034001,"Rua Antônio de Godói, lado ímpar",Centro,"São Paulo", "SP"
01034010,Largo do Paissandu,Centro,"São Paulo", "SP"
01034020,Rua Capitão Salomão,Centro,"São Paulo", "SP"
01034030,Rua Abelardo Pinto,Centro,"São Paulo", "SP"
01034900,"Edifício Daniel Martins Ferreira, Largo do Paissandu, 51",Centro,"São Paulo", "SP"
01034901,"Edifício José Paulino Nogueira, Largo do Paissandu, 72",Centro,"São Paulo", "SP"
01034903,"Edifício Campanários, Rua Antônio de Godói, 122",Centro,"São Paulo", "SP"
01034904,"Condomínio Edifício Maina, Rua do Seminário, 199",Centro,"São Paulo", "SP"
01035000,"Avenida São João, até 649 - lado ímpar",Centro,"São Paulo", "SP"
01035100,"Avenida São João, de 651 a 1339 - lado ímpar",República,"São Paulo", "SP"
01035901,"Edifício Grandes Galerias, Avenida São João, 439",Centro,"São Paulo", "SP"
01035902,"Edifício Itaguaré, Avenida São João, 1151",Centro,"São Paulo", "SP"
01035903,"Edifício Santa Branca, Avenida São João, 1333",Centro,"São Paulo", "SP"
01035904,"Galeria Olido, Avenida São João, 473",Centro,"São Paulo", "SP"
01035905,"Edifício Seguradora, Avenida São João, 313",Centro,"São Paulo", "SP"
